filename,plate,well,site,channel,timepoint,compound,dose,control,subdir_folder,zslice
E-10_F0002_T0013_Z0001_C02,1,E-10,2,CL488,T0013,Staurosporine,78.13,,20231017ChromaLive_6hr_4ch_MaxIP/,Z0001
C-06_F0001_T0003_Z0001_C01,1,C-06,1,Hoechst,T0003,Staurosporine,4.88,,20231017ChromaLive_6hr_4ch_MaxIP/,Z0001
E-02_F0001_T0002_Z0001_C04,1,E-02,1,CL561,T0002,Staurosporine,0.0,negative,20231017ChromaLive_6hr_4ch_MaxIP/,Z0001
C-05_F0003_T0002_Z0001_C01,1,C-05,3,Hoechst,T0002,Staurosporine,2.44,,20231017ChromaLive_6hr_4ch_MaxIP/,Z0001
C-11_F0004_T0011_Z0001_C03,1,C-11,4,CL488-2,T0011,Staurosporine,156.25,,20231017ChromaLive_6hr_4ch_MaxIP/,Z0001
D-05_F0001_T0010_Z0001_C03,1,D-05,1,CL488-2,T0010,Staurosporine,2.44,,20231017ChromaLive_6hr_4ch_MaxIP/,Z0001
C-05_F0001_T0002_Z0001_C03,1,C-05,1,CL488-2,T0002,Staurosporine,2.44,,20231017ChromaLive_6hr_4ch_MaxIP/,Z0001
D-06_F0001_T0011_Z0001_C01,1,D-06,1,Hoechst,T0011,Staurosporine,4.88,,20231017ChromaLive_6hr_4ch_MaxIP/,Z0001
E-03_F0001_T0003_Z0001_C02,1,E-03,1,CL488,T0003,Staurosporine,0.61,,20231017ChromaLive_6hr_4ch_MaxIP/,Z0001
E-02_F0003_T0002_Z0001_C02,1,E-02,3,CL488,T0002,Staurosporine,0.0,negative,20231017ChromaLive_6hr_4ch_MaxIP/,Z0001
D-10_F0002_T0005_Z0001_C02,1,D-10,2,CL488,T0005,Staurosporine,78.13,,20231017ChromaLive_6hr_4ch_MaxIP/,Z0001
D-05_F0003_T0010_Z0001_C01,1,D-05,3,Hoechst,T0010,Staurosporine,2.44,,20231017ChromaLive_6hr_4ch_MaxIP/,Z0001
C-04_F0003_T0001_Z0001_C03,1,C-04,3,CL488-2,T0001,Staurosporine,1.22,,20231017ChromaLive_6hr_4ch_MaxIP/,Z0001
E-10_F0003_T0013_Z0001_C01,1,E-10,3,Hoechst,T0013,Staurosporine,78.13,,20231017ChromaLive_6hr_4ch_MaxIP/,Z0001
C-04_F0002_T0001_Z0001_C04,1,C-04,2,CL561,T0001,Staurosporine,1.22,,20231017ChromaLive_6hr_4ch_MaxIP/,Z0001
D-05_F0002_T0010_Z0001_C02,1,D-05,2,CL488,T0010,Staurosporine,2.44,,20231017ChromaLive_6hr_4ch_MaxIP/,Z0001
C-02_F0001_T0007_Z0001_C01,1,C-02,1,Hoechst,T0007,Staurosporine,0.0,negative,20231017ChromaLive_6hr_4ch_MaxIP/,Z0001
D-10_F0001_T0005_Z0001_C03,1,D-10,1,CL488-2,T0005,Staurosporine,78.13,,20231017ChromaLive_6hr_4ch_MaxIP/,Z0001
E-02_F0002_T0002_Z0001_C03,1,E-02,2,CL488-2,T0002,Staurosporine,0.0,negative,20231017ChromaLive_6hr_4ch_MaxIP/,Z0001
E-03_F0002_T0003_Z0001_C01,1,E-03,2,Hoechst,T0003,Staurosporine,0.61,,20231017ChromaLive_6hr_4ch_MaxIP/,Z0001
D-11_F0001_T0006_Z0001_C01,1,D-11,1,Hoechst,T0006,Staurosporine,156.25,,20231017ChromaLive_6hr_4ch_MaxIP/,Z0001
C-05_F0002_T0002_Z0001_C02,1,C-05,2,CL488,T0002,Staurosporine,2.44,,20231017ChromaLive_6hr_4ch_MaxIP/,Z0001
C-11_F0003_T0011_Z0001_C04,1,C-11,3,CL561,T0011,Staurosporine,156.25,,20231017ChromaLive_6hr_4ch_MaxIP/,Z0001
